donor_category	donor_id	donor_name	source_url	country_code	project_name	is_loan	amount_m	currency	amount_m_usd	objectives	main_components	start_date	start_ut	end_date	end_ut	duration	duration_unit	duration_unit_ticks	implementing_agency	executing_agency	Project Name	Loan / Grant	Amount (USD)	Objective/s	Main Component/s	Commencement Date	Duration	Implementing Agency	Executing Agency
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Central Expressway Project  - Section 01 from Kadawtha to Meerigama	True	989.0	USD	989.0			2019-03-22	1553212800			4.0	year	126230400.0	Road Development Authority	Road Development Authority	Central Expressway Project  - Section 01 from Kadawtha to Meerigama	Loan	989			2019-03-22	4 years	Road Development Authority	Road Development Authority
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Construction of Extension of Southern Expressway Section 1 from Matara to Beliatta Project	True	683.0	USD	683.0	To enhance the efficiency of transport system by linking country's major economic centers with Colombo City and other parts of the Country.	Construct 30 km length road section from Matara to Beliatta of the Extension of Southern Expressway Project.	2016-01-19	1453161600						Road Development Authority	Ministry of Higher Education & Highways	Construction of Extension of Southern Expressway Section 1 from Matara to Beliatta Project	Loan	USD 683 Mn	To enhance the efficiency of transport system by linking country's major economic centers with Colombo City and other parts of the Country.	Construct 30 km length road section from Matara to Beliatta of the Extension of Southern Expressway Project.	2016-01-19		Road Development Authority	Ministry of Higher Education & Highways
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Hambantota Port Development Phase II	False	600.0	USD	600.0	To build a strong supplementary Port to Colombo Port as an international hub and support Sri Lanka to consolidate the status as a container transshipment hub in the Southern Asian Region.	Construction of 6 numbers of container berths, oil terminal, yard & roads; Deepeninng of entrance channel; Construction of artificial island & handling facilities; Escavating new basin area	2012-09-17	1347840000						Sri Lanka Ports Authority	Ministry of Ports & Shipping	Hambantota Port Development Phase II	Loan 1	USD 600 Million (fully utilized), RMB 1000 million (RMB 300 mn, cancelled) USD 51 mn Cancalled	To build a strong supplementary Port to Colombo Port as an international hub and support Sri Lanka to consolidate the status as a container transshipment hub in the Southern Asian Region.	Construction of 6 numbers of container berths, oil terminal, yard & roads; Deepeninng of entrance channel; Construction of artificial island & handling facilities; Escavating new basin area	2012-09-17		Sri Lanka Ports Authority	Ministry of Ports & Shipping
bilateral	12	China Development Bank (CDB)	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=12&today=2022-03-14&Itemid=321&lang=en	CN	Rehabililitation & improvement of Priority Road Projects - 2	True	500.0	USD	500.0	Provide necessary connectivity and linkages to the road network in order to accelerate the Government road construction programme; Improve priority road sections covering all Island connecting all electorates.	CIA A - Horawela - Pelawatte - Pitigala Road (0.0 - 17.50km); C4 B - Horana - Anguruwatota - Aluthgama Road (5.0 - 32.0km); C4 C - Horawela - pelawatta - Pitigala Road (17.5 - 25.74km); C9 A - Construction of a flyover at Mattala airport access road  junction in Hambanthota hub development; C9 B - Construction of a flyover at 100 feet road and bypass road junction in Hambanthota hub development; C21 - Reconstruction /widening of Bridges on Tiruwanaketiya - Agalawatta Road (33.45 - 67.80km); C24 - Reconstruction /widening of Bridges on Horana - Anguruwatota - Aluthgama Road (5.0 - 32km); 10A - Thihagoda - Kamburupitiya - Mawarala - Kotapola Road (23.0 - 67.0km); 10B -  Hungama - Middeniya Road (0.0 - 30km); 20 - Nagoda - Kalawellawa - Bellapitiya (27 - 57km); C2A - Kandy - Mahiyangana - Padiyathalawa Road (93.15-102.28km) 9.13km; C2B - Badulla - Karamatiya - Andaulpotha Road (0.0 - 48km) 48km; C5A - Mahiyangana - Dimbulagala - Daukkane Road (0.0 - 24.10km) 24.10km; C5B - Bibile - Uraniya - Mahiyangana Road (22.0 - 39.58km) 17.58km; C6   - Galkulama - Anuradhapura Road (0.0 - 15km) & (16 - 16.64km) 15.64km; C7(I) -  Kadahapoka - Rambawewa Road (0.0 - 18.7km) 18.71km; C7(II) - Kurunegala - Narammala - Madampe Road (0.0 - 22.36km) 22.36km; C7(III) - Galagedara - Rambukkana Road (0.0 - 18.5km) 18.5km; C11  - Tennekumbura - Rikillagaskada - Ragala Road (20.2 - 73.64km) 53.34km; C12 - Uswetakeiyawa - Epamulla - Pamunugama Road(0.0 - 8.05km) 8.05km; C13 - Palaviya - Kalpitiya Road - (14.0 - 40.60km) 26.60km; C15 - Mahiyangana - Dimbulagala - Dalukkane (24.10 - 72.8km); C16 - Manampitiya - Aralaganwila - Maduru Oya Road (0.0 - 3km ) 51.70km; C17 - Provincial Roads in Nuwaraeliya District - 85.01km	2011-03-31	1301529600						Road Development Authority	Ministry of Higher Education & Highways	Rehabililitation & improvement of Priority Road Projects - 2	Loan	USD 500 Mn	Provide necessary connectivity and linkages to the road network in order to accelerate the Government road construction programme; Improve priority road sections covering all Island connecting all electorates.	CIA A - Horawela - Pelawatte - Pitigala Road (0.0 - 17.50km); C4 B - Horana - Anguruwatota - Aluthgama Road (5.0 - 32.0km); C4 C - Horawela - pelawatta - Pitigala Road (17.5 - 25.74km); C9 A - Construction of a flyover at Mattala airport access road  junction in Hambanthota hub development; C9 B - Construction of a flyover at 100 feet road and bypass road junction in Hambanthota hub development; C21 - Reconstruction /widening of Bridges on Tiruwanaketiya - Agalawatta Road (33.45 - 67.80km); C24 - Reconstruction /widening of Bridges on Horana - Anguruwatota - Aluthgama Road (5.0 - 32km); 10A - Thihagoda - Kamburupitiya - Mawarala - Kotapola Road (23.0 - 67.0km); 10B -  Hungama - Middeniya Road (0.0 - 30km); 20 - Nagoda - Kalawellawa - Bellapitiya (27 - 57km); C2A - Kandy - Mahiyangana - Padiyathalawa Road (93.15-102.28km) 9.13km; C2B - Badulla - Karamatiya - Andaulpotha Road (0.0 - 48km) 48km; C5A - Mahiyangana - Dimbulagala - Daukkane Road (0.0 - 24.10km) 24.10km; C5B - Bibile - Uraniya - Mahiyangana Road (22.0 - 39.58km) 17.58km; C6   - Galkulama - Anuradhapura Road (0.0 - 15km) & (16 - 16.64km) 15.64km; C7(I) -  Kadahapoka - Rambawewa Road (0.0 - 18.7km) 18.71km; C7(II) - Kurunegala - Narammala - Madampe Road (0.0 - 22.36km) 22.36km; C7(III) - Galagedara - Rambukkana Road (0.0 - 18.5km) 18.5km; C11  - Tennekumbura - Rikillagaskada - Ragala Road (20.2 - 73.64km) 53.34km; C12 - Uswetakeiyawa - Epamulla - Pamunugama Road(0.0 - 8.05km) 8.05km; C13 - Palaviya - Kalpitiya Road - (14.0 - 40.60km) 26.60km; C15 - Mahiyangana - Dimbulagala - Dalukkane (24.10 - 72.8km); C16 - Manampitiya - Aralaganwila - Maduru Oya Road (0.0 - 3km ) 51.70km; C17 - Provincial Roads in Nuwaraeliya District - 85.01km	2011-03-31		Road Development Authority	Ministry of Higher Education & Highways
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Construction of Outer Circular Highway Project Phase III (Kadawatha to Kerawalapitiya)	True	494.0	USD	494.0	To construct 9.32 Km road section from Kadawatha to Kerawalapitiya of the Outer Circular Highway Project linking the Southern Expressway, Colombo - Katunayaka Expressway, Central Expressway & other major national highways.	Construct 9.32 km of Outer Circular Highway from Kadawatha to Kerawalapitiya.	2014-09-16	1410825600						Road Development Authority	Ministry of Higher Education & Highways	Construction of Outer Circular Highway Project Phase III (Kadawatha to Kerawalapitiya)	Loan	USD 494 Mn	To construct 9.32 Km road section from Kadawatha to Kerawalapitiya of the Outer Circular Highway Project linking the Southern Expressway, Colombo - Katunayaka Expressway, Central Expressway & other major national highways.	Construct 9.32 km of Outer Circular Highway from Kadawatha to Kerawalapitiya.	2014-09-16		Road Development Authority	Ministry of Higher Education & Highways
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Northern Road Rehabilitation Project (C1A , C1B , C11A, C11B, C7, C2, C3)	False	424.0	USD	424.0	This is to rehabilitate roads in the Northern Province and it will help to revive the economic activities of the communities who have economically suffered for a long time.	63Km length of Kandy - Jaffna Road (A009) (From Galkulama to 230Km Post) Project - C1A; 90Km length of Kandy - Jaffna Road (A009) (From 230Km Post to Jaffna) C1B; 42.4 km length of Mulativu - Kokkilai - Pulmudai Road (B297) - C11A; 52.6 km Oddusudan - Nedunkerny (B334) & Mulativu - Puliyankulama Road (B296) - C11B; 67Km length of Navatkuli - Karaitivu - Mannar road (A032) -  C2; 84km length of Jaffna - Point Pedro Road (AB020) -  C3; Putter Meesalai Road (AB032), Jaffna - Kankasanturai Road (AB016) & Jaffna - Palali Road (AB018) -  C7	2010-09-09	1283990400						Road Development Authority	Ministry of Higher Education & Highways	Northern Road Rehabilitation Project (C1A , C1B , C11A, C11B, C7, C2, C3)	Loan (07 loans)	USD 424 Mn	This is to rehabilitate roads in the Northern Province and it will help to revive the economic activities of the communities who have economically suffered for a long time.	63Km length of Kandy - Jaffna Road (A009) (From Galkulama to 230Km Post) Project - C1A; 90Km length of Kandy - Jaffna Road (A009) (From 230Km Post to Jaffna) C1B; 42.4 km length of Mulativu - Kokkilai - Pulmudai Road (B297) - C11A; 52.6 km Oddusudan - Nedunkerny (B334) & Mulativu - Puliyankulama Road (B296) - C11B; 67Km length of Navatkuli - Karaitivu - Mannar road (A032) -  C2; 84km length of Jaffna - Point Pedro Road (AB020) -  C3; Putter Meesalai Road (AB032), Jaffna - Kankasanturai Road (AB016) & Jaffna - Palali Road (AB018) -  C7	2010-09-09		Road Development Authority	Ministry of Higher Education & Highways
bilateral	10	EXIM Bank of India	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=10&today=2022-03-14&Itemid=321&lang=en	IN	A Dollar Credit Line of USD 416.39 Million from the Government of India for the Restoration of Northern Railway Service.	True	416.39	USD	416.39			2010-11-26	1290729600						Sri Lanka Railways	Ministry of Transport & Civil Aviation	A Dollar Credit Line of USD 416.39 Million from the Government of India for the Restoration of Northern Railway Service.	Loan	USD 416.39 Million			2010-11-26		Sri Lanka Railways	Ministry of Transport & Civil Aviation
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Construction of Extension of Southern Expressway Section 4 from Matttala to Hambantota via Andarawewa Project	True	412.0	USD	412.0	To enhance the efficiency of transport system by linking country's major economic centers with Colombo City and other parts of the Country.	Construct 25 km length road section from Matttala to Hambantota via Andarawewa of the Extension of Southern Expressway Project.	2016-09-19	1474243200						Road Development Authority	Ministry of Higher Education & Highways	Construction of Extension of Southern Expressway Section 4 from Matttala to Hambantota via Andarawewa Project	Loan	USD 412 Mn	To enhance the efficiency of transport system by linking country's major economic centers with Colombo City and other parts of the Country.	Construct 25 km length road section from Matttala to Hambantota via Andarawewa of the Extension of Southern Expressway Project.	2016-09-19		Road Development Authority	Ministry of Higher Education & Highways
bilateral	10	EXIM Bank of India	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=10&today=2022-03-14&Itemid=321&lang=en	IN	A Dollar Credit Line of USD 382.37 Million from the Government of India for the Restoration of Northern Railway Service.	True	382.37	USD	382.37			2012-01-17	1326758400			6.0	year	189345600.0	Sri Lanka Railways	Ministry of Transport & Civil Aviation	A Dollar Credit Line of USD 382.37 Million from the Government of India for the Restoration of Northern Railway Service.	Loan	USD 382.37 Million			2012-01-17	6 years	Sri Lanka Railways	Ministry of Transport & Civil Aviation
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Construction of Extension of Southern Expressway Section 2 from Beliatta to Wetiya Project	True	360.0	USD	360.0	To enhance the efficiency of transport system by linking country's major economic centers with Colombo City and other parts of the Country.	Construct 26 km length road section from Beliatta to Wetiya of the Extension of Southern Expressway Project.	2016-10-28	1477612800						Road Development Authority	Ministry of Higher Education & Highways	Construction of Extension of Southern Expressway Section 2 from Beliatta to Wetiya Project	Loan	USD 360 Mn	To enhance the efficiency of transport system by linking country's major economic centers with Colombo City and other parts of the Country.	Construct 26 km length road section from Beliatta to Wetiya of the Extension of Southern Expressway Project.	2016-10-28		Road Development Authority	Ministry of Higher Education & Highways
